/* DATA DESCRIPTION:
Citation:	Kuhlmann, Jannis; Huhn, Katrin; Ikari, Matt J (2016): CT scan data of sediment core GeoB14403-8 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.868440, 
	In supplement to: Kuhlmann, J et al. (2016): Do embedded volcanoclastic layers serve as potential glide planes? - An integrated analysis from the Gela Basin offshore southern Sicily. In: Lamarche et al. (eds.) Submarine Mass Movements and Their Consequences. Springer, Heidelberg, 41, 273-280, https://doi.org/10.1007/978-3-319-20979-1_27
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
Coverage:	MEDIAN LATITUDE: 36.856745 * MEDIAN LONGITUDE: 14.231745 * SOUTH-BOUND LATITUDE: 36.856660 * WEST-BOUND LONGITUDE: 14.231660 * NORTH-BOUND LATITUDE: 36.856830 * EAST-BOUND LONGITUDE: 14.231830
	DATE/TIME START: 2010-06-30T03:16:00 * DATE/TIME END: 2010-07-01T12:53:00
	MINIMUM DEPTH, sediment/rock: 28.1800 m * MAXIMUM DEPTH, sediment/rock: 28.3800 m
Event(s):	MSM15/3_617-1 (GeoB14403-8) * LATITUDE START: 36.856830 * LONGITUDE START: 14.231830 * LATITUDE END: 36.856660 * LONGITUDE END: 14.231660 * DATE/TIME START: 2010-06-30T03:16:00 * DATE/TIME END: 2010-07-01T12:53:00 * ELEVATION START: -185.7 m * ELEVATION END: -182.0 m * CAMPAIGN: MSM15/3 (URI: https://doi.org/10.2312/cr_msm15_3) * BASIS: Maria S. Merian (URI: https://en.wikipedia.org/wiki/RV_Maria_S._Merian) * METHOD/DEVICE: MeBo (Meeresboden-Bohrgerät) (MeBo)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de)
	Sample code/label (Sample label) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de)
	Number of slice [#] (No slice) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
	Radiodensity [HU] (Radiodensity) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
	Mesoporosity [%] (Mesoporosity) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	2632 data points
*/
Depth sed [m]	Sample label	No slice [#]	Radiodensity [HU]	Mesoporosity [%]
28.2942	GeoB14403-8_5P-2	375	974.78	5.59
28.2945	GeoB14403-8_5P-2	376	973.33	5.66
28.2948	GeoB14403-8_5P-2	377	970.88	5.66
28.2951	GeoB14403-8_5P-2	378	968.61	5.67
28.2954	GeoB14403-8_5P-2	379	967.47	5.55
28.2957	GeoB14403-8_5P-2	380	966.26	5.50
28.2960	GeoB14403-8_5P-2	381	965.13	5.42
28.2963	GeoB14403-8_5P-2	382	964.83	5.46
28.2966	GeoB14403-8_5P-2	383	965.06	5.46
28.2969	GeoB14403-8_5P-2	384	965.39	5.34
28.2972	GeoB14403-8_5P-2	385	965.65	5.24
28.2975	GeoB14403-8_5P-2	386	965.02	5.14
28.2978	GeoB14403-8_5P-2	387	964.20	5.16
28.2981	GeoB14403-8_5P-2	388	963.15	5.31
28.2984	GeoB14403-8_5P-2	389	962.26	5.34
28.2987	GeoB14403-8_5P-2	390	961.02	5.18
28.2990	GeoB14403-8_5P-2	391	960.09	5.07
28.2993	GeoB14403-8_5P-2	392	958.62	4.95
28.2996	GeoB14403-8_5P-2	393	956.51	4.71
28.2999	GeoB14403-8_5P-2	394	954.51	4.42
28.3002	GeoB14403-8_5P-2	395	952.75	4.23
28.3005	GeoB14403-8_5P-2	396	952.35	4.02
28.3009	GeoB14403-8_5P-2	397	952.71	4.03
28.3012	GeoB14403-8_5P-2	398	952.26	4.04
28.3015	GeoB14403-8_5P-2	399	951.47	4.06
28.3018	GeoB14403-8_5P-2	400	950.39	4.13
28.3021	GeoB14403-8_5P-2	401	949.47	4.22
28.3024	GeoB14403-8_5P-2	402	948.41	4.19
28.3027	GeoB14403-8_5P-2	403	947.36	4.13
28.3030	GeoB14403-8_5P-2	404	946.43	4.31
28.3033	GeoB14403-8_5P-2	405	945.60	4.24
28.3036	GeoB14403-8_5P-2	406	945.17	4.34
28.3039	GeoB14403-8_5P-2	407	945.20	4.45
28.3042	GeoB14403-8_5P-2	408	945.21	4.54
28.3045	GeoB14403-8_5P-2	409	944.38	4.41
28.3048	GeoB14403-8_5P-2	410	943.22	4.32
28.3051	GeoB14403-8_5P-2	411	942.14	4.17
28.3054	GeoB14403-8_5P-2	412	942.27	3.91
28.3057	GeoB14403-8_5P-2	413	943.22	3.92
28.3060	GeoB14403-8_5P-2	414	944.20	4.14
28.3063	GeoB14403-8_5P-2	415	945.12	4.42
28.3066	GeoB14403-8_5P-2	416	946.30	4.74
28.3069	GeoB14403-8_5P-2	417	947.87	4.93
28.3072	GeoB14403-8_5P-2	418	949.78	4.98
28.3075	GeoB14403-8_5P-2	419	951.24	5.10
28.3079	GeoB14403-8_5P-2	420	951.14	5.05
28.3082	GeoB14403-8_5P-2	421	951.07	4.87
28.3085	GeoB14403-8_5P-2	422	950.41	4.75
28.3088	GeoB14403-8_5P-2	423	949.23	4.74
28.3091	GeoB14403-8_5P-2	424	949.19	4.68
28.3094	GeoB14403-8_5P-2	425	950.05	4.59
28.3097	GeoB14403-8_5P-2	426	950.89	4.49
28.3100	GeoB14403-8_5P-2	427	952.05	4.38
28.3103	GeoB14403-8_5P-2	428	952.65	4.32
28.3106	GeoB14403-8_5P-2	429	954.26	4.31
28.3109	GeoB14403-8_5P-2	430	955.86	4.29
28.3112	GeoB14403-8_5P-2	431	956.77	4.18
28.3115	GeoB14403-8_5P-2	432	956.76	4.20
28.3118	GeoB14403-8_5P-2	433	957.98	4.34
28.3121	GeoB14403-8_5P-2	434	958.35	4.34
28.3124	GeoB14403-8_5P-2	435	958.50	4.30
28.3127	GeoB14403-8_5P-2	436	959.21	4.23
28.3130	GeoB14403-8_5P-2	437	959.61	4.01
28.3133	GeoB14403-8_5P-2	438	960.18	4.00
28.3136	GeoB14403-8_5P-2	439	959.95	4.01
28.3139	GeoB14403-8_5P-2	440	958.78	3.84
28.3142	GeoB14403-8_5P-2	441	957.59	3.83
28.3146	GeoB14403-8_5P-2	442	956.98	3.60
28.3149	GeoB14403-8_5P-2	443	956.23	3.53
28.3152	GeoB14403-8_5P-2	444	956.35	3.52
28.3155	GeoB14403-8_5P-2	445	956.58	3.42
28.3158	GeoB14403-8_5P-2	446	956.98	3.45
28.3161	GeoB14403-8_5P-2	447	957.50	3.29
28.3164	GeoB14403-8_5P-2	448	958.50	3.22
28.3167	GeoB14403-8_5P-2	449	959.68	3.20
28.3170	GeoB14403-8_5P-2	450	961.70	3.30
28.3173	GeoB14403-8_5P-2	451	963.16	3.56
28.3176	GeoB14403-8_5P-2	452	964.43	3.79
28.3179	GeoB14403-8_5P-2	453	965.56	4.04
28.3182	GeoB14403-8_5P-2	454	966.93	4.10
28.3185	GeoB14403-8_5P-2	455	967.91	4.18
28.3188	GeoB14403-8_5P-2	456	968.37	4.37
28.3191	GeoB14403-8_5P-2	457	968.11	4.32
28.3194	GeoB14403-8_5P-2	458	968.07	4.48
28.3197	GeoB14403-8_5P-2	459	968.60	4.68
28.3200	GeoB14403-8_5P-2	460	969.99	4.92
28.3203	GeoB14403-8_5P-2	461	972.45	5.35
28.3206	GeoB14403-8_5P-2	462	974.05	5.56
28.3209	GeoB14403-8_5P-2	463	975.96	5.73
28.3212	GeoB14403-8_5P-2	464	977.54	6.10
28.3216	GeoB14403-8_5P-2	465	978.53	6.23
28.3219	GeoB14403-8_5P-2	466	979.24	6.32
28.3222	GeoB14403-8_5P-2	467	979.72	6.18
28.3225	GeoB14403-8_5P-2	468	979.18	5.90
28.3228	GeoB14403-8_5P-2	469	978.46	5.71
28.3231	GeoB14403-8_5P-2	470	978.29	5.63
28.3234	GeoB14403-8_5P-2	471	978.61	5.50
28.3237	GeoB14403-8_5P-2	472	979.40	5.49
28.3240	GeoB14403-8_5P-2	473	980.59	5.69
28.3243	GeoB14403-8_5P-2	474	981.33	6.06
28.3246	GeoB14403-8_5P-2	475	980.83	6.37
28.3249	GeoB14403-8_5P-2	476	980.33	6.65
28.3252	GeoB14403-8_5P-2	477	979.43	6.98
28.3255	GeoB14403-8_5P-2	478	978.70	7.26
28.3258	GeoB14403-8_5P-2	479	979.27	7.45
28.3261	GeoB14403-8_5P-2	480	979.29	7.46
28.3264	GeoB14403-8_5P-2	481	979.16	7.41
28.3267	GeoB14403-8_5P-2	482	979.58	7.34
28.3270	GeoB14403-8_5P-2	483	979.19	7.22
28.3273	GeoB14403-8_5P-2	484	980.39	7.08
28.3276	GeoB14403-8_5P-2	485	980.08	7.18
28.3279	GeoB14403-8_5P-2	486	981.03	7.31
28.3282	GeoB14403-8_5P-2	487	982.32	7.60
28.3286	GeoB14403-8_5P-2	488	982.84	7.70
28.3289	GeoB14403-8_5P-2	489	981.07	7.59
28.3292	GeoB14403-8_5P-2	490	979.08	7.42
28.3295	GeoB14403-8_5P-2	491	976.65	7.04
28.3298	GeoB14403-8_5P-2	492	975.11	6.75
28.3301	GeoB14403-8_5P-2	493	974.21	6.44
28.3304	GeoB14403-8_5P-2	494	973.38	6.18
28.3307	GeoB14403-8_5P-2	495	973.20	6.19
28.3310	GeoB14403-8_5P-2	496	973.38	6.38
28.3313	GeoB14403-8_5P-2	497	971.99	6.62
28.3316	GeoB14403-8_5P-2	498	970.25	6.46
28.3319	GeoB14403-8_5P-2	499	969.58	6.34
28.3322	GeoB14403-8_5P-2	500	968.82	6.38
28.3325	GeoB14403-8_5P-2	501	968.57	6.44
28.3328	GeoB14403-8_5P-2	502	969.28	6.64
28.3331	GeoB14403-8_5P-2	503	970.50	6.81
28.3334	GeoB14403-8_5P-2	504	972.03	7.03
28.3337	GeoB14403-8_5P-2	505	972.66	7.59
28.3340	GeoB14403-8_5P-2	506	973.14	7.72
28.3343	GeoB14403-8_5P-2	507	972.39	7.84
28.3346	GeoB14403-8_5P-2	508	971.72	8.08
28.3349	GeoB14403-8_5P-2	509	971.92	8.30
28.3353	GeoB14403-8_5P-2	510	972.43	8.41
28.3356	GeoB14403-8_5P-2	511	972.58	8.54
28.3359	GeoB14403-8_5P-2	512	972.66	8.51
28.3362	GeoB14403-8_5P-2	513	971.67	8.34
28.3365	GeoB14403-8_5P-2	514	970.81	8.41
28.3368	GeoB14403-8_5P-2	515	970.27	8.21
28.3371	GeoB14403-8_5P-2	516	970.29	7.99
28.3374	GeoB14403-8_5P-2	517	970.66	8.10
28.3377	GeoB14403-8_5P-2	518	972.06	8.08
28.3380	GeoB14403-8_5P-2	519	973.52	8.38
28.3383	GeoB14403-8_5P-2	520	973.90	8.40
28.3386	GeoB14403-8_5P-2	521	974.27	8.09
28.3389	GeoB14403-8_5P-2	522	974.01	7.97
28.3392	GeoB14403-8_5P-2	523	972.75	7.58
28.3395	GeoB14403-8_5P-2	524	972.17	7.50
28.3398	GeoB14403-8_5P-2	525	971.95	7.67
28.3401	GeoB14403-8_5P-2	526	972.50	7.91
28.3404	GeoB14403-8_5P-2	527	973.06	8.32
28.3407	GeoB14403-8_5P-2	528	975.02	8.73
28.3410	GeoB14403-8_5P-2	529	976.51	9.17
28.3413	GeoB14403-8_5P-2	530	977.20	9.15
28.3416	GeoB14403-8_5P-2	531	977.15	9.09
28.3419	GeoB14403-8_5P-2	532	975.90	8.53
28.3423	GeoB14403-8_5P-2	533	974.63	8.35
28.3426	GeoB14403-8_5P-2	534	973.59	8.08
28.3429	GeoB14403-8_5P-2	535	972.69	7.87
28.3432	GeoB14403-8_5P-2	536	972.74	7.80
28.3435	GeoB14403-8_5P-2	537	973.08	7.69
28.3438	GeoB14403-8_5P-2	538	973.84	7.49
28.3441	GeoB14403-8_5P-2	539	975.09	7.32
28.3444	GeoB14403-8_5P-2	540	976.41	7.02
28.3447	GeoB14403-8_5P-2	541	977.66	7.10
28.3450	GeoB14403-8_5P-2	542	979.27	7.01
28.3453	GeoB14403-8_5P-2	543	980.63	7.02
28.3456	GeoB14403-8_5P-2	544	980.86	7.07
28.3459	GeoB14403-8_5P-2	545	981.21	7.07
28.3462	GeoB14403-8_5P-2	546	980.99	6.90
28.3465	GeoB14403-8_5P-2	547	981.02	6.61
28.3468	GeoB14403-8_5P-2	548	981.32	6.51
28.3471	GeoB14403-8_5P-2	549	982.25	6.67
28.3474	GeoB14403-8_5P-2	550	983.11	6.95
28.3477	GeoB14403-8_5P-2	551	984.01	7.39
28.3480	GeoB14403-8_5P-2	552	984.90	7.60
28.3483	GeoB14403-8_5P-2	553	984.76	7.52
28.3486	GeoB14403-8_5P-2	554	983.71	7.35
28.3489	GeoB14403-8_5P-2	555	983.19	7.06
28.3493	GeoB14403-8_5P-2	556	983.32	6.93
28.3496	GeoB14403-8_5P-2	557	984.86	6.75
28.3499	GeoB14403-8_5P-2	558	986.01	6.87
28.3502	GeoB14403-8_5P-2	559	987.00	7.04
28.3505	GeoB14403-8_5P-2	560	987.57	7.12
28.3508	GeoB14403-8_5P-2	561	987.68	7.29
28.3511	GeoB14403-8_5P-2	562	987.14	7.29
28.3514	GeoB14403-8_5P-2	563	986.69	7.10
28.3517	GeoB14403-8_5P-2	564	985.99	7.24
28.3520	GeoB14403-8_5P-2	565	984.42	7.31
28.3523	GeoB14403-8_5P-2	566	982.17	7.55
28.3526	GeoB14403-8_5P-2	567	979.59	7.88
28.3529	GeoB14403-8_5P-2	568	977.37	8.23
28.3532	GeoB14403-8_5P-2	569	977.10	8.46
28.3535	GeoB14403-8_5P-2	570	978.28	8.71
28.3538	GeoB14403-8_5P-2	571	979.49	9.09
28.3541	GeoB14403-8_5P-2	572	981.18	9.41
28.3544	GeoB14403-8_5P-2	573	982.32	9.33
28.3547	GeoB14403-8_5P-2	574	982.25	9.02
28.3550	GeoB14403-8_5P-2	575	982.40	8.94
28.3553	GeoB14403-8_5P-2	576	982.94	8.76
28.3556	GeoB14403-8_5P-2	577	983.88	8.78
28.3560	GeoB14403-8_5P-2	578	984.40	8.74
28.3563	GeoB14403-8_5P-2	579	984.43	8.63
28.3566	GeoB14403-8_5P-2	580	984.36	8.44
28.3569	GeoB14403-8_5P-2	581	984.46	8.57
28.3572	GeoB14403-8_5P-2	582	984.82	8.80
28.3575	GeoB14403-8_5P-2	583	985.51	8.89
28.3578	GeoB14403-8_5P-2	584	985.84	8.98
28.3581	GeoB14403-8_5P-2	585	986.63	9.07
28.3584	GeoB14403-8_5P-2	586	987.60	9.09
28.3587	GeoB14403-8_5P-2	587	987.72	9.02
28.3590	GeoB14403-8_5P-2	588	987.16	8.74
28.3593	GeoB14403-8_5P-2	589	986.84	8.55
28.3596	GeoB14403-8_5P-2	590	986.92	8.46
28.3599	GeoB14403-8_5P-2	591	987.12	8.30
28.3602	GeoB14403-8_5P-2	592	986.32	8.10
28.3605	GeoB14403-8_5P-2	593	984.96	7.90
28.3608	GeoB14403-8_5P-2	594	984.17	7.98
28.3611	GeoB14403-8_5P-2	595	983.63	8.03
28.3614	GeoB14403-8_5P-2	596	983.58	7.98
28.3617	GeoB14403-8_5P-2	597	983.48	7.84
28.3620	GeoB14403-8_5P-2	598	983.76	7.86
28.3623	GeoB14403-8_5P-2	599	983.84	7.77
28.3626	GeoB14403-8_5P-2	600	983.62	7.55
28.3630	GeoB14403-8_5P-2	601	983.35	7.44
28.3633	GeoB14403-8_5P-2	602	983.64	7.58
28.3636	GeoB14403-8_5P-2	603	984.25	7.83
28.3639	GeoB14403-8_5P-2	604	984.18	8.21
28.3642	GeoB14403-8_5P-2	605	983.34	8.54
28.3645	GeoB14403-8_5P-2	606	983.34	8.85
28.3648	GeoB14403-8_5P-2	607	983.43	8.98
28.3651	GeoB14403-8_5P-2	608	982.77	8.86
28.3654	GeoB14403-8_5P-2	609	981.34	8.86
28.3657	GeoB14403-8_5P-2	610	979.42	8.92
28.3660	GeoB14403-8_5P-2	611	977.81	8.92
28.3663	GeoB14403-8_5P-2	612	975.69	8.88
28.3666	GeoB14403-8_5P-2	613	974.55	9.13
28.3669	GeoB14403-8_5P-2	614	973.89	9.35
28.3672	GeoB14403-8_5P-2	615	972.47	9.49
28.3675	GeoB14403-8_5P-2	616	970.79	9.57
28.3678	GeoB14403-8_5P-2	617	969.29	9.53
28.3681	GeoB14403-8_5P-2	618	968.77	9.62
28.3684	GeoB14403-8_5P-2	619	969.30	9.53
28.3687	GeoB14403-8_5P-2	620	969.77	9.50
28.3690	GeoB14403-8_5P-2	621	969.38	9.22
28.3693	GeoB14403-8_5P-2	622	968.66	9.04
28.3696	GeoB14403-8_5P-2	623	967.76	8.93
28.3700	GeoB14403-8_5P-2	624	967.66	9.16
28.3703	GeoB14403-8_5P-2	625	966.87	9.28
28.3706	GeoB14403-8_5P-2	626	966.62	9.44
28.3709	GeoB14403-8_5P-2	627	966.30	9.60
28.3712	GeoB14403-8_5P-2	628	965.68	9.63
28.3715	GeoB14403-8_5P-2	629	964.55	9.50
28.3718	GeoB14403-8_5P-2	630	963.16	9.32
28.3721	GeoB14403-8_5P-2	631	961.38	9.04
28.3724	GeoB14403-8_5P-2	632	960.13	8.98
28.3727	GeoB14403-8_5P-2	633	959.29	9.21
28.3730	GeoB14403-8_5P-2	634	958.04	9.43
28.3733	GeoB14403-8_5P-2	635	958.78	9.68
28.3736	GeoB14403-8_5P-2	636	959.48	9.66
28.3739	GeoB14403-8_5P-2	637	957.81	9.99
28.3742	GeoB14403-8_5P-2	638	958.22	10.26
28.3745	GeoB14403-8_5P-2	639	957.10	10.53
28.3748	GeoB14403-8_5P-2	640	956.80	10.60
28.3751	GeoB14403-8_5P-2	641	956.68	10.75
28.3754	GeoB14403-8_5P-2	642	955.48	10.93
28.3757	GeoB14403-8_5P-2	643	955.42	10.97
28.3760	GeoB14403-8_5P-2	644	954.36	10.90
28.3763	GeoB14403-8_5P-2	645	953.55	10.98
28.3767	GeoB14403-8_5P-2	646	953.63	10.71
28.3770	GeoB14403-8_5P-2	647	954.33	10.58
28.3773	GeoB14403-8_5P-2	648	955.61	10.09
28.3776	GeoB14403-8_5P-2	649	956.76	9.65
28.3779	GeoB14403-8_5P-2	650	958.05	9.01
28.3782	GeoB14403-8_5P-2	651	959.90	8.68
28.3785	GeoB14403-8_5P-2	652	960.62	8.25
28.3788	GeoB14403-8_5P-2	653	960.99	7.77
28.3791	GeoB14403-8_5P-2	654	960.38	7.58
28.3794	GeoB14403-8_5P-2	655	959.17	7.39
28.3797	GeoB14403-8_5P-2	656	957.08	7.05
28.3800	GeoB14403-8_5P-2	657	955.81	6.60
